"video_id","etiquette_id"
110,1447
588,355
110,1448
110,1449
110,1450
110,1451
110,1452
110,1453
110,1454
110,1455
111,1458
111,1459
111,1460
111,1461
111,1462
111,1463
111,1464
111,1465
111,1466
111,1467
111,1468
111,1469
594,157
594,987
111,1470
111,1471
111,1472
111,1473
111,1474
111,1475
111,1476
111,1477
112,1478
112,1479
112,1480
112,1481
112,1482
112,1483
112,1484
112,1485
112,1486
598,1135
598,967
112,1487
112,1488
112,1489
112,1490
599,162
112,1491
112,1492
112,1493
112,1494
112,1495
112,1496
112,1497
112,1498
114,1500
114,1501
114,1502
114,1503
603,162
603,158
114,1506
114,1507
114,1508
114,1509
604,966
604,985
114,1510
114,1511
114,1512
114,1513
114,1514
114,1515
114,1516
114,1517
114,1518
114,1519
114,1520
115,1521
115,1523
115,1524
115,1525
115,1526
115,1527
115,1528
115,1529
115,1530
115,1531
115,1532
115,1533
115,1534
115,1535
115,1538
115,1539
115,1542
115,1544
115,1546
115,1547
115,1548
115,1549
115,1550
115,1551
115,1552
115,1553
115,1554
115,1555
115,1556
115,1558
115,1559
115,1560
617,157
617,165
115,1561
115,1562
115,1563
115,1564
618,158
115,1565
115,1566
115,1567
622,245
626,1135
118,1568
631,970
631,970
633,245
121,1592
121,1593
121,1595
121,1596
121,1597
121,1599
121,1600
121,1601
122,1603
122,1604
122,1605
122,1606
123,1607
123,1608
123,1609
123,1610
123,1612
123,1613
123,1614
641,207
641,967
123,1615
123,1617
123,1618
642,157
642,165
123,1619
123,1620
123,1621
123,1622
123,1623
123,1624
123,1625
123,1626
644,1438
125,1628
125,1630
645,985
125,1631
125,1632
125,1635
125,1636
127,1637
127,1639
127,1641
127,1642
648,157
648,165
648,162
127,1643
127,1645
127,1647
127,1648
127,1649
127,1650
127,1651
127,1652
127,1653
127,1654
651,252
127,1661
127,1662
128,1663
128,1664
128,1665
128,1666
128,1667
128,1668
128,1669
655,245
655,985
128,1670
128,1671
128,1672
128,1673
128,1674
128,1675
